""
"Year","GDP-US $ billion 2012","Population-US million","Protection - Federal $ billion 2012","","Protection -  $ billion 2012","","Protection - State $ billion 2012","","Protection - Local $ billion 2012","","Protection - Total $ billion 2012",""
"1957","2994.1","170.420","0.98","a","0","","3.20","a","14.37","a","18.55","a"
"1958","2972","173.337","0.98","a","0","","3.61","a","15.24","a","19.83","a"
"1959","3178.2","176.305","1.04","a","0","","3.90","a","15.94","a","20.88","a"
"1960","3260","179.323","1.04","a","0","","4.03","a","17.03","a","22.10","a"
"1961","3343.5","181.588","1.15","a","0","","4.40","a","18.43","a","23.98","a"
"1962","3548.4","183.881","1.87","a","0","","4.61","a","19.09","a","25.57","a"
"1963","3702.9","186.204","1.98","a","0","","4.84","a","19.64","a","26.46","a"
"1964","3916.3","188.555","2.05","a","0","","5.15","a","20.52","a","27.73","a"
"1965","4170.8","190.937","2.19","a","0","","5.51","a","21.60","a","29.30","a"
"1966","4445.9","193.348","2.24","a","0","","5.73","a","22.53","a","30.50","a"
"1967","4567.8","195.790","2.37","a","0","","6.31","a","23.94","a","32.62","a"
"1968","4792.3","198.263","2.40","a","0","","6.90","a","25.29","a","34.59","a"
"1969","4942.1","200.766","2.60","a","0","","7.28","a","27.18","a","37.06","a"
"1970","4951.3","203.302","3.00","a","0","","8.02","a","29.48","a","40.50","a"
"1971","5114.3","205.515","3.46","a","0","","8.75","a","32.40","a","44.60","a"
"1972","5383.3","207.752","4.03","a","0","","9.55","a","35.30","a","48.88","a"
"1973","5687.2","210.013","4.63","a","0","","10.15","a","37.17","a","51.94","a"
"1974","5656.5","212.299","4.79","a","0","","10.52","a","37.35","a","52.65","a"
"1975","5644.8","214.609","5.45","a","0","","11.10","a","39.82","a","56.37","a"
"1976","5949","216.945","5.75","a","0","","11.93","a","42.19","a","59.88","a"
"1977","6224.1","219.307","6.02","a","0","","12.85","a","44.16","a","63.02","a"
"1978","6568.6","221.694","6.29","a","0","","13.53","a","45.01","a","64.83","a"
"1979","6776.6","224.107","6.31","a","0","","14.02","a","45.08","a","65.42","a"
"1980","6759.2","226.546","6.38","a","0","","14.62","a","45.98","a","66.98","a"
"1981","6930.7","228.670","6.36","a","0","","15.17","a","46.73","a","68.26","a"
"1982","6805.8","230.815","6.17","a","0","","16.23","a","48.91","a","71.31","a"
"1983","7117.7","232.979","6.76","a","0","","17.61","a","51.43","a","75.80","a"
"1984","7632.8","235.164","7.28","a","0","","19.19","a","53.86","a","80.33","a"
"1985","7951.1","237.369","7.72","a","0","","21.04","a","57.23","a","85.99","a"
"1986","8226.4","239.595","7.86","a","0","","23.68","a","61.16","a","92.70","a"
"1987","8511","241.842","8.74","a","0","","25.25","a","66.31","a","100.30","a"
"1988","8866.5","244.110","10.44","a","0","","27.43","a","69.07","a","106.94","a"
"1989","9192.1","246.399","9.67","a","0","","29.81","i","72.35","i","111.82","i"
"1990","9365.5","248.710","9.63","a","0","","32.02","a","75.41","a","117.05","a"
"1991","9355.4","251.802","11.35","a","0","","34.32","a","77.98","a","123.66","a"
"1992","9684.9","254.933","13.07","a","-1.69","a","40.62","a","85.94","a","137.94","a"
"1993","9951.5","258.103","13.11","a","-1.65","a","40.93","a","86.41","a","138.80","a"
"1994","10352.4","261.312","13.05","a","-1.73","a","43.96","a","89.12","a","144.40","a"
"1995","10630.3","264.561","13.07","a","-2.19","a","48.13","a","92.62","a","151.64","a"
"1996","11031.4","267.850","14.12","a","-2.73","a","49.95","a","96.43","a","157.78","a"
"1997","11521.9","271.180","15.40","a","-4.43","a","52.01","a","101.98","a","164.96","a"
"1998","12038.3","274.552","17.40","a","-5.41","a","54.37","a","106.59","a","172.96","a"
"1999","12610.5","277.966","19.20","a","-8.00","a","57.58","a","111.00","a","179.78","a"
"2000","13131","282.172","20.27","a","-8.78","a","60.70","a","115.80","a","187.99","a"
"2001","13262.1","285.082","20.99","a","-10.44","a","63.87","a","185.74","i","260.15","i"
"2002","13493.1","287.804","24.87","a","-9.18","a","66.27","a","127.07","a","209.03","a"
"2003","13879.1","290.326","24.62","a","-7.38","a","57.98","a","130.70","i","205.92","i"
"2004","14406.4","293.046","28.17","a","-7.84","a","63.80","a","133.06","a","217.19","a"
"2005","14912.5","295.753","28.32","a","-7.46","a","64.44","a","137.75","a","223.05","a"
"2006","15338.3","298.593","27.86","a","-7.50","a","66.19","a","142.64","a","229.19","a"
"2007","15626","301.580","28.01","a","-6.84","a","69.35","a","150.11","a","240.64","a"
"2008","15604.7","304.375","33.12","a","-6.32","a","72.74","a","156.86","a","256.39","a"
"2009","15208.8","307.007","36.41","a","-7.03","a","72.93","a","164.67","a","266.98","a"
