""
"Year","GDP-US $ billion 2012","Population-US million","Defense - Federal $ billion 2012","","Defense - State $ billion 2012","","Defense - Local $ billion 2012","","Defense - Total $ billion 2012",""
"1974","5656.5","212.299","360.38","a","0","","0","","360.38","a"
"1975","5644.8","214.609","369.22","a","0","","0","","369.22","a"
"1976","5949","216.945","363.55","a","0","","0","","363.55","a"
"1977","6224.1","219.307","363.65","a","0","","0","","363.65","a"
"1978","6568.6","221.694","365.79","a","0","","0","","365.79","a"
"1979","6776.6","224.107","370.73","a","0","","0","","370.73","a"
"1980","6759.2","226.546","397.17","a","0","","0","","397.17","a"
"1981","6930.7","228.670","418.41","a","0","","0","","418.41","a"
"1982","6805.8","230.815","450.97","a","0","","0","","450.97","a"
"1983","7117.7","232.979","482.99","a","0","","0","","482.99","a"
"1984","7632.8","235.164","508.30","a","0","","0","","508.30","a"
"1985","7951.1","237.369","540.93","a","0","","0","","540.93","a"
"1986","8226.4","239.595","563.79","a","0","","0","","563.79","a"
"1987","8511","241.842","561.65","a","0","","0","","561.65","a"
"1988","8866.5","244.110","559.16","a","0","","0","","559.16","a"
"1989","9192.1","246.399","559.15","a","0","","0","","559.15","a"
"1990","9365.5","248.710","537.40","a","0","","0","","537.40","a"
"1991","9355.4","251.802","486.83","a","0","","0","","486.83","a"
"1992","9684.9","254.933","517.72","a","0.25","a","0.00","a","517.97","a"
"1993","9951.5","258.103","499.12","a","0.24","a","0.00","a","499.35","a"
"1994","10352.4","261.312","477.79","a","0.25","a","0.00","a","478.04","a"
"1995","10630.3","264.561","454.17","a","0.29","a","0.00","a","454.46","a"
"1996","11031.4","267.850","432.12","a","0.31","a","0.00","a","432.43","a"
"1997","11521.9","271.180","436.57","a","0.33","a","0.00","a","436.89","a"
"1998","12038.3","274.552","429.10","a","0.38","a","0.00","a","429.48","a"
"1999","12610.5","277.966","436.33","a","0.37","a","0.00","a","436.70","a"
"2000","13131","282.172","459.31","a","0.46","a","0.00","a","459.77","a"
"2001","13262.1","285.082","459.01","a","0.42","a","0.00","i","459.43","i"
"2002","13493.1","287.804","520.35","a","0.45","a","0.00","a","520.79","a"
"2003","13879.1","290.326","584.76","a","1.23","a","0.00","i","585.99","i"
"2004","14406.4","293.046","639.79","a","1.77","a","0.00","a","641.56","a"
"2005","14912.5","295.753","686.30","a","1.36","a","0.00","a","687.66","a"
"2006","15338.3","298.593","689.66","a","1.10","a","0.00","a","690.76","a"
"2007","15626","301.580","705.58","a","1.11","a","0.00","a","706.70","a"
"2008","15604.7","304.375","773.86","a","1.15","a","0.00","a","775.01","a"
"2009","15208.8","307.007","835.85","a","0.98","a","0.00","a","836.83","a"
"2010","15598.8","309.322","881.44","a","0.83","a","0.00","a","882.27","a"
"2011","15840.7","311.557","895.36","a","0.94","a","0.00","a","896.30","a"
"2012","16197","313.831","839.33","a","0.89","a","0.00","a","840.23","a"
"2013","16495.4","315.994","804.82","a","1.07","a","0.00","a","805.89","a"
"2014","16912","318.301","771.87","a","1.09","a","0.00","a","772.96","a"
"2015","17403.8","320.635","765.37","a","1.00","a","0.00","a","766.37","a"
"2016","17688.9","322.941","768.65","a","1.30","a","0.00","a","769.95","a"
"2017","18108.1","324.986","762.21","a","0.73","a","0.00","a","762.94","a"
"2018","18638.2","326.687","777.96","a","1.11","a","0.00","e","779.07","e"
"2019","19073.1","328.240","835.45","a","1.16","g","0.00","g","836.61","g"
"2020","19367.7","330.603","870.14","b","1.20","g","0.00","g","871.34","g"

"Legend:"
" a - actual reported"
" i - interpolated between actual reported values"
" e - estimated by usgovernmentspending.com"
" g - 'guesstimated' projection by usgovernmentspending.com"
" b - budgeted estimate in US FY21 budget"
"Data Sources for 1900:"
"GDP: ","https://www.measuringworth.org/usgdp/","Samuel H. Williamson, "What Was the U.S. GDP Then?" MeasuringWorth, 2015.",""
"Federal: ","https://www.census.gov/library/publications/1975/compendia/hist_stats_colonial-1970.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
"State and Local: ","https://www.census.gov/library/publications/1975/compendia/hist_stats_colonial-1970.html","Hist. Stats of US, Colonial Times to 1970 and 1789 - 1945",""
""
"Data Sources for 2020:"
"GDP, GO: ","https://usgovernmentspending.blogspot.com/search/label/usgdp","GDP, GO Sources",""
"Federal: ","https://www.govinfo.gov/app/collection/budget/2021/BUDGET-2021-TAB","Fed. Budget: Hist. Tables 3.2, 5.1, 7.1",""
"State and Local: ","https://www.census.gov/programs-surveys/gov-finances.html","State and Local Gov. Finances",""
"","https://usgovernmentspending.blogspot.com/2011/03/change-to-guesstimated-state-and-local.html","'Guesstimated'"," by projecting the latest change in reported spending forward to future years"
